Case,Store,Family,CV,Pattern,Selected_Model,RMSLE,Beats_Traditional,Beats_Neural,Improvement_vs_Traditional,Improvement_vs_Neural
store_49_family_PET SUPPLIES,49,PET SUPPLIES,1.0381995264796309,REGULAR,NEURAL,0.3287247189086884,True,True,30.867567001327362,39.8600953332074
store_8_family_PET SUPPLIES,8,PET SUPPLIES,1.0135318407400948,REGULAR,NEURAL,0.33315481033069594,True,True,29.935896881031343,39.04961391681376
store_44_family_SCHOOL AND OFFICE SUPPLIES,44,SCHOOL AND OFFICE SUPPLIES,2.7657115555709066,VOLATILE,TRADITIONAL,0.5008731878650529,False,True,-5.336106806530575,8.365680961388057
store_45_family_SCHOOL AND OFFICE SUPPLIES,45,SCHOOL AND OFFICE SUPPLIES,3.074216627029071,VOLATILE,TRADITIONAL,0.3846783867492466,True,True,19.100234122135305,29.62341991415174
store_39_family_MEATS,39,MEATS,9.324833795587587,VOLATILE,TRADITIONAL,0.20165305327640776,True,True,57.59136629307934,63.107747296668904
store_53_family_PRODUCE,53,PRODUCE,1.054317854684883,REGULAR,NEURAL,0.14713170946127538,True,True,69.05747435094104,73.0823802668724
store_26_family_FROZEN FOODS,26,FROZEN FOODS,2.8817136814801283,VOLATILE,TRADITIONAL,0.4808267226068589,False,True,-1.1202360897705368,12.03316454320181
store_46_family_SCHOOL AND OFFICE SUPPLIES,46,SCHOOL AND OFFICE SUPPLIES,3.13949810625087,VOLATILE,TRADITIONAL,0.4472327050968232,True,True,5.944751819805838,18.17916116047873
store_47_family_SCHOOL AND OFFICE SUPPLIES,47,SCHOOL AND OFFICE SUPPLIES,2.364729964818854,VOLATILE,TRADITIONAL,0.6284563612303957,False,False,-32.16747870250173,-14.975550902011664
store_48_family_SCHOOL AND OFFICE SUPPLIES,48,SCHOOL AND OFFICE SUPPLIES,4.293071337817077,VOLATILE,TRADITIONAL,0.702593852699404,False,False,-47.75895955823429,-28.53894121833224
